unit,power source,operation mode,cooling capacity (kW),applicable area (ping),power consumption (W),operating current (A),dimensions width×height×depth (mm),noise level in high mode (dB),weight (kg),maximum refrigerant volume (kg),minimum indoor installation area (m2)
RAS-50NJP,single-phase220V60Hz,cooling,13,17~25,3939,18.1,1110x315x280,40,16,4.95,/
RAM-130JK,single-phase220V60Hz,cooling,13,17~25,3939,18.1,1060x940x370,58,83,4.95,/
RAS-22NJPx3,single-phase220V60Hz,cooling,13,17~25,3630,16.7,840x315x270,30,12,5.05,/
RAS-28NJP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,840x315x270,33,12,5.05,/
RAS-36NJP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,940x315x270,35,14,5.05,/
RAM-130JP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,1060x940x370,58,86,5.05,/
RAS-22NJPx3,single-phase220V60Hz,cooling,16,19~29,5475,25.1,840x315x270,30,12,5.05,/
RAS-40NJP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,940x315x270,38,14,5.05,/
RAS-50NJP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,1110x315x280,40,16,5.05,/
RAM-160JP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,1060x940x370,60,86,5.05,/
RAS-22NJP,single-phase220V60Hz,cooling,2.2,3,340,2.1,840x315x270,30,12,1.02,0.99
RAC-22JP,single-phase220V60Hz,cooling,2.2,3,340,2.1,730x600x290,43,40,1.02,0.99
RAS-22NJP,single-phase220V60Hz,cooling,2.2,3,382,2,840x315x270,32,12,1.13,/
RAC-22JK1,single-phase220V60Hz,cooling,2.2,3,382,2,730×600×290,43,40,1.13,/
RAS-28NJP,single-phase220V60Hz,cooling,2.8,3~5,476,2.6,840x315x270,33,12,1.02,0.99
RAC-28JP,single-phase220V60Hz,cooling,2.8,3~5,476,2.6,730x600x290,44,40,1.02,0.99
RAS-28NJP,single-phase220V60Hz,cooling,2.8,3~5,550,2.8,840x315x270,36,12,1.13,/
RAC-28JK1,single-phase220V60Hz,cooling,2.8,3~5,550,2.8,730×600×290,40,40,1.13,/
RAS-36NJP,single-phase220V60Hz,cooling,3.6,4~6,622,3.3,940x315x270,35,14,1.25,1.49
RAC-36JP,single-phase220V60Hz,cooling,3.6,4~6,622,3.3,810x685x300,46,48,1.25,1.49
RAS-36NJP,single-phase220V60Hz,cooling,3.6,4~6,729,3.6,940x315x270,37,14,1.28,/
RAC-36JK1,single-phase220V60Hz,cooling,3.6,4~6,729,3.6,810×685×300,46,48,1.28,/
RAS-40NJP,single-phase220V60Hz,cooling,4.1,5~7,772,4.1,940x315x270,38,14,1.35,1.74
RAC-40JP,single-phase220V60Hz,cooling,4.1,5~7,772,4.1,810x685x300,49,48,1.35,1.74
RAS-50NJP,single-phase220V60Hz,cooling,5,6~8,1025,5.2,1110x315x280,40,16,1.5,2.15
RAC-50JP,single-phase220V60Hz,cooling,5,6~8,1025,5.2,810x685x300,49,49,1.5,2.15
RAS-63NJP,single-phase220V60Hz,cooling,6.3,8~10,1360,6.9,1110x315x280,41,16,1.84,3.23
RAC-63JP,single-phase220V60Hz,cooling,6.3,8~10,1360,6.9,880x790x315,50,55,1.84,3.23
RAS-71NJP,single-phase220V60Hz,cooling,7.2,10~12,1615,7.8,1110x315x280,42,16,1.84,3.23
RAC-71JP,single-phase220V60Hz,cooling,7.2,10~12,1615,7.8,880x790x315,52,55,1.84,3.23
RAS-81NJP,single-phase220V60Hz,cooling,8,10~13,1868,8.8,1110x315x280,45,17,2.4,5.49
RAC-81JP,single-phase220V60Hz,cooling,8,10~13,1868,8.8,920x885x315,55,62,2.4,5.49
RAS-90NJP,single-phase220V60Hz,cooling,8.7,12~15,2060,9.5,1110x315x280,47,17,2.4,5.49
RAC-90JP,single-phase220V60Hz,cooling,8.7,12~15,2060,9.5,920x885x315,57,62,2.4,5.49
RAS-22NJP,single-phase220V60Hz,cooling,5,6~8,1118,5.6,840x315x270,30,12,1.45,2
RAS-28NJP,single-phase220V60Hz,cooling,5,6~8,1118,5.6,840x315x270,33,12,1.45,2
RAM-50JP,single-phase220V60Hz,cooling,5,6~8,1118,5.6,810x685x300,50,49,1.45,2
RAS-22NJP,single-phase220V60Hz,cooling,5,6~8,1230,5.7,840x315x270,30,12,1.6,/
RAS-28NJP,single-phase220V60Hz,cooling,5,6~8,1230,5.7,840x315x270,33,12,1.6,/
RAM-50JK1,single-phase220V60Hz,cooling,5,6~8,1230,5.7,810x685x300,50,48,1.6,/
RAS-28NJP,single-phase220V60Hz,cooling,6.3,8~10,1143,7.1,840x315x270,33,12,1.875,3.35
RAS-36NJP,single-phase220V60Hz,cooling,6.3,8~10,1143,7.1,940x315x270,35,14,1.875,3.35
RAM-63JP,single-phase220V60Hz,cooling,6.3,8~10,1143,7.1,880x790x315,55,56,1.875,3.35
RAS-36NJPx2,single-phase220V60Hz,cooling,7.2,10~12,1800,8.8,940x315x270,35,14,1.875,3.35
RAM-71JP,single-phase220V60Hz,cooling,7.2,10~12,1800,8.8,880x790x315,55,56,1.875,3.35
RAS-36NJP,single-phase220V60Hz,cooling,8.5,11~14,2033,10.2,940x315x270,35,14,2.95,8.3
RAS-50NJP,single-phase220V60Hz,cooling,8.5,11~14,2033,10.2,1110x315x280,40,16,2.95,8.3
RAM-83JP,single-phase220V60Hz,cooling,8.5,11~14,2033,10.2,920x885x315,55,63,2.95,8.3
RAS-36NJP,single-phase220V60Hz,cooling,8.4,11~14,2331,10.7,940x315x270,35,14,3.3,/
RAS-50NJP,single-phase220V60Hz,cooling,8.4,11~14,2331,10.7,1110x315x280,40,16,3.3,/
RAM-83JK,single-phase220V60Hz,cooling,8.4,11~14,2331,10.7,920x885x315,55,63,3.3,/
RAS-36NJP,single-phase220V60Hz,cooling,8.4,11~14,2456,11.3,940x315x270,35,14,3.48,/
RAS-50NJP,single-phase220V60Hz,cooling,8.4,11~14,2456,11.3,1110x315x280,40,16,3.48,/
RAM-83JL,single-phase220V60Hz,cooling,8.4,11~14,2456,11.3,920x885x315,57,63,3.48,/
RAS-22NJP,single-phase220V60Hz,cooling,8.5,11~14,2038,10.2,840x315x270,30,12,3.15,9.46
RAS-28NJP,single-phase220V60Hz,cooling,8.5,11~14,2038,10.2,840x315x270,33,12,3.15,9.46
RAS-36NJP,single-phase220V60Hz,cooling,8.5,11~14,2038,10.2,940x315x270,35,14,3.15,9.46
RAM-86JP,single-phase220V60Hz,cooling,8.5,11~14,2038,10.2,920x885x315,55,63,3.15,9.46
RAS-22NJP,single-phase220V60Hz,cooling,8.4,11~14,2497,11.5,840x315x270,30,12,3.5,/
RAS-28NJP,single-phase220V60Hz,cooling,8.4,11~14,2497,11.5,840x315x270,33,12,3.5,/
RAS-36NJP,single-phase220V60Hz,cooling,8.4,11~14,2497,11.5,940x315x270,35,14,3.5,/
RAM-86JK,single-phase220V60Hz,cooling,8.4,11~14,2497,11.5,920x885x315,55,63,3.5,/
RAS-22NJP,single-phase220V60Hz,cooling,8.4,11~14,2512,11.5,840x315x270,30,12,3.68,/
RAS-28NJP,single-phase220V60Hz,cooling,8.4,11~14,2512,11.5,840x315x270,33,12,3.68,/
RAS-36NJP,single-phase220V60Hz,cooling,8.4,11~14,2512,11.5,940x315x270,35,14,3.68,/
RAM-86JL,single-phase220V60Hz,cooling,8.4,11~14,2512,11.5,920x885x315,57,63,3.68,/
RAS-22NJP,single-phase220V60Hz,cooling,9,12~18,2040,10.3,840x315x270,30,12,3.15,9.46
RAS-36NJPx2,single-phase220V60Hz,cooling,9,12~18,2040,10.3,940x315x270,35,14,3.15,9.46
RAM-93JP,single-phase220V60Hz,cooling,9,12~18,2040,10.3,920x885x315,57,63,3.15,9.46
RAS-22NJP,single-phase220V60Hz,cooling,9,12~18,2595,11.9,840x315x270,30,12,3.5,/
RAS-36NJPx2,single-phase220V60Hz,cooling,9,12~18,2595,11.9,940x315x270,35,14,3.5,/
RAM-93JK,single-phase220V60Hz,cooling,9,12~18,2595,11.9,920x885x315,57,63,3.5,/
RAS-22NJP,single-phase220V60Hz,cooling,9,12~18,2617,12,840x315x270,30,12,3.68,/
RAS-36NJPx2,single-phase220V60Hz,cooling,9,12~18,2617,12,940x315x270,35,14,3.68,/
RAM-93JL,single-phase220V60Hz,cooling,9,12~18,2617,12,920x885x315,59,63,3.68,/
RAS-22NJPx3,single-phase220V60Hz,cooling,10.1,15~18,2459,12.4,840x315x270,30,12,3.15,9.46
RAS-36NJP,single-phase220V60Hz,cooling,10.1,15~18,2459,12.4,940x315x270,35,14,3.15,9.46
RAM-108JP,single-phase220V60Hz,cooling,10.1,15~18,2459,12.4,920 x885x315,57,63,3.15,9.46
RAS-22NJPx3,single-phase220V60Hz,cooling,10,15~18,2974,13.7,840x315x270,30,12,3.5,/
RAS-36NJP,single-phase220V60Hz,cooling,10,15~18,2974,13.7,940x315x270,35,14,3.5,/
RAM-108JK,single-phase220V60Hz,cooling,10,15~18,2974,13.7,920 x885x315,57,63,3.5,/
RAS-22NJPx3,single-phase220V60Hz,cooling,10.1,15~18,3070,14.1,840x315x270,30,12,3.68,/
RAS-36NJP,single-phase220V60Hz,cooling,10.1,15~18,3070,14.1,940x315x270,35,14,3.68,/
RAM-108JL,single-phase220V60Hz,cooling,10.1,15~18,3070,14.1,920 x885x315,59,63,3.68,/
RAS-22NJPx2,single-phase220V60Hz,cooling,13,17~25,3939,18.1,840x315x270,30,12,4.95,/
RAS-36NJP,single-phase220V60Hz,cooling,13,17~25,3939,18.1,940x315x270,35,14,4.95,/
RAS-50NJP,single-phase220V60Hz,cooling,13,17~25,3939,18.1,1110x315x280,40,16,4.95,/
RAM-130JK,single-phase220V60Hz,cooling,13,17~25,3939,18.1,1060x940x370,58,83,4.95,/
RAS-22NJPx3,single-phase220V60Hz,cooling,13,17~25,3630,16.7,840x315x270,30,12,5.05,/
RAS-28NJP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,840x315x270,33,12,5.05,/
RAS-36NJP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,940x315x270,35,14,5.05,/
RAM-130JP,single-phase220V60Hz,cooling,13,17~25,3630,16.7,1060x940x370,58,86,5.05,/
RAS-22NJPx3,single-phase220V60Hz,cooling,16,19~29,5475,25.1,840x315x270,30,12,5.05,/
RAS-40NJP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,940x315x270,38,14,5.05,/
RAS-50NJP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,1110x315x280,40,16,5.05,/
RAM-160JP,single-phase220V60Hz,cooling,16,19~29,5475,25.1,1060x940x370,60,86,5.05,/
